region_id,region_type,zipcode,state,metro_area,city,county
84694,zip,60805,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Evergreen Park,Cook County
84358,zip,60104,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Bellwood,Cook County
84506,zip,60455,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Bridgeview,Cook County
78090,zip,46319,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Griffith,Lake County
78109,zip,46356,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lowell,Lake County
84487,zip,60436,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Rockdale,Will County
81256,zip,53158,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Pleasant Prairie,Kenosha County
84516,zip,60465,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Palos Hills,Cook County
78137,zip,46404,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Gary,Lake County
84484,zip,60433,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Joliet,Will County
84470,zip,60417,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Crete,Will County
84404,zip,60154,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Westchester,Cook County
84339,zip,60084,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Wauconda,Lake County
78091,zip,46320,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Hammond,Lake County
399605,zip,60403,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Crest Hill,Will County
84496,zip,60445,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Midlothian,Cook County
84583,zip,60555,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Warrenville,DuPage County
78117,zip,46373,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Saint John,Lake County
84297,zip,60033,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Harvard,McHenry County
84436,zip,60191,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Wood Dale,DuPage County
78133,zip,46394,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Whiting,Lake County
84321,zip,60064,IL,"Chicago-Naperville-Elgin, IL-IN-WI",North Chicago,Lake County
84634,zip,60633,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84381,zip,60130,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Forest Park,Cook County
84293,zip,60026,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Glenview,Cook County
84559,zip,60526,IL,"Chicago-Naperville-Elgin, IL-IN-WI",La Grange Park,Cook County
84509,zip,60458,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Justice,Cook County
84582,zip,60554,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Sugar Grove,Kane County
84690,zip,60712,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lincolnwood,Cook County
84468,zip,60415,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago Ridge,Cook County
84586,zip,60558,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Western Springs,Cook County
84571,zip,60542,IL,"Chicago-Naperville-Elgin, IL-IN-WI",North Aurora,Kane County
84493,zip,60442,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Manhattan,Will County
84479,zip,60428,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Markham,Cook County
84437,zip,60192,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Hoffman Estates,Cook County
84537,zip,60501,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Summit,Cook County
84402,zip,60152,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Marengo,McHenry County
84474,zip,60422,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Flossmoor,Cook County
84304,zip,60041,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Fox Lake,Lake County
84576,zip,60548,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Sandwich,DeKalb County
84422,zip,60176,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Schiller Park,Cook County
78136,zip,46403,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Gary,Lake County
84532,zip,60481,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Wilmington,Will County
84394,zip,60143,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Itasca,DuPage County
84456,zip,60305,IL,"Chicago-Naperville-Elgin, IL-IN-WI",River Forest,Cook County
84372,zip,60119,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Elburn,Kane County
78877,zip,47978,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Rensselaer,Jasper County
84338,zip,60083,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Wadsworth,Lake County
81259,zip,53168,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Salem,Kenosha County
84522,zip,60471,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Richton Park,Cook County
84564,zip,60534,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lyons,Cook County
84435,zip,60190,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Winfield,DuPage County
84533,zip,60482,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Worth,Cook County
84557,zip,60523,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Oak Brook,DuPage County
84526,zip,60475,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Steger,Cook County
84307,zip,60044,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake Bluff,Lake County
84515,zip,60464,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Palos Park,Cook County
84548,zip,60514,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Clarendon Hills,DuPage County
84325,zip,60069,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lincolnshire,Lake County
78140,zip,46407,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Gary,Lake County
84417,zip,60171,IL,"Chicago-Naperville-Elgin, IL-IN-WI",River Grove,Cook County
84291,zip,60022,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Glencoe,Cook County
78097,zip,46327,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Hammond,Lake County
84405,zip,60155,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Broadview,Cook County
84459,zip,60401,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Beecher,Will County
78131,zip,46392,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Wheatfield,Jasper County
84305,zip,60042,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Island Lake,McHenry County
84289,zip,60020,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Fox Lake,Lake County
84352,zip,60097,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Wonder Lake,McHenry County
78142,zip,46409,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Gary,Lake County
78135,zip,46402,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Gary,Lake County
84519,zip,60468,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Peotone,Will County
84386,zip,60135,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Genoa,DeKalb County
417453,zip,60484,IL,"Chicago-Naperville-Elgin, IL-IN-WI",University Park,Will County
81218,zip,53104,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Bristol,Kenosha County
81267,zip,53181,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Twin Lakes,Kenosha County
78103,zip,46347,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Kouts,Porter County
84512,zip,60461,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Olympia Fields,Cook County
81266,zip,53179,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Salem,Kenosha County
84531,zip,60480,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Willow Springs,Cook County
